x,y,z,d
0.04,0.6317781,0.21325443,310.67532
-0.06,0.1817781,0.26325443,309.89096
0.04,0.1317781,0.26325443,308.9175
0.09,0.4817781,0.21325443,308.82916
-0.06,0.1317781,0.26325443,307.2827
0.14,0.4317781,0.56325443,306.69275
-0.21,0.8317781,0.16325443,305.221
0.04,0.2317781,0.26325443,303.86472
0.04,-0.0182219,0.46325443,303.24292
-0.31,0.4817781,0.16325443,302.8398
-0.21,0.8817781,0.16325443,302.7889
-0.11,0.4317781,0.21325443,302.57965
-0.11,0.4817781,0.56325443,302.3833
-0.16,-0.4182219,0.56325443,301.6616
-0.36,-0.5682219,0.71325443,301.3052
-0.01,-0.8182219,0.66325443,300.1697
0.24,0.8317781,0.36325443,299.43613
0.14,-0.1682219,0.31325443,298.96658
0.14,0.5817781,0.21325443,298.21494
-0.06,0.4817781,0.26325443,297.97736
-0.11,0.5317781,0.21325443,297.4174
-0.16,-0.1682219,0.36325443,297.21774
-0.21,0.8317781,0.21325443,297.09625
-0.11,-0.2682219,0.21325443,296.65512
-0.11,0.2317781,0.16325443,295.00116
-0.11,-0.4682219,0.61325443,294.82272
-0.31,0.6817781,0.11325443,294.36685
-0.16,0.8817781,0.31325443,291.67834
0.19,0.2317781,0.26325443,291.5737
-0.11,0.1317781,0.26325443,290.9495
-0.06,0.2817781,0.26325443,290.6452
-0.11,0.8317781,0.16325443,290.30826
-0.21,-0.2182219,0.51325443,290.26047
-0.16,-0.3682219,0.51325443,290.074
0.09,0.5817781,0.26325443,289.77692
0.04,0.4817781,0.26325443,289.57596
-0.16,-0.3182219,0.81325443,289.37283
-0.26,-0.8182219,0.66325443,288.66275
-0.26,-0.5182219,0.81325443,288.44247
-0.01,0.2317781,0.26325443,287.88614
0.19,-0.2682219,0.41325443,287.64075
0.09,0.0317781,0.26325443,287.21945
0.24,-0.2182219,0.51325443,286.7064
-0.21,-0.2682219,0.41325443,286.48608
0.29,0.5817781,0.16325443,285.2241
-0.11,0.6317781,0.21325443,284.2941
-0.16,-0.4182219,0.61325443,284.1201
0.04,0.1817781,0.26325443,284.08182
0.14,-0.1182219,0.26325443,283.59814
-0.01,0.1817781,0.26325443,282.923
0.19,-0.0682219,0.26325443,282.611
0.14,-0.2682219,0.41325443,281.90878
-0.31,-0.0682219,0.16325443,281.72607
-0.21,-0.5182219,0.86325443,281.5455
0.29,0.4817781,0.11325443,280.48135
0.34,-0.5682219,0.96325443,280.45715
0.29,0.5817781,0.11325443,279.96066
-0.36,-0.7182219,0.66325443,279.02945
-0.21,0.2817781,0.21325443,278.40472
-0.06,-0.2682219,0.26325443,277.4565
0.09,-0.4682219,0.61325443,276.56674
-0.01,0.6317781,0.21325443,276.40506
-0.16,-0.3182219,0.46325443,276.2425
0.14,-0.7182219,0.66325443,276.05573
-0.21,-0.8182219,0.66325443,275.80417
-0.21,0.3817781,0.21325443,275.1377
-0.16,-0.2682219,0.41325443,273.59973
-0.01,0.4817781,0.21325443,273.57266
0.29,-0.0682219,0.51325443,271.28256
-0.06,0.5817781,0.26325443,271.19608
-0.21,-0.5182219,0.71325443,270.86624
-0.21,-0.0682219,0.16325443,270.42368
0.29,0.5317781,0.11325443,270.3693
-0.06,0.2317781,0.26325443,270.34805
-0.06,0.6317781,0.21325443,270.2422
0.04,0.3317781,0.26325443,270.1723
0.09,-0.5182219,0.86325443,269.22318
-0.11,0.4317781,0.56325443,269.00366
-0.06,0.5817781,0.66325443,267.9235
-0.31,-0.2182219,0.61325443,267.72772
-0.11,0.4317781,0.16325443,267.29648
0.09,0.4817781,0.61325443,267.10855
-0.21,0.4317781,0.51325443,266.7155
0.14,0.4817781,0.61325443,266.57144
0.29,0.4317781,0.11325443,266.19446
-0.36,-0.6182219,0.71325443,265.60696
-0.31,0.5317781,0.21325443,264.5717
-0.16,0.5317781,0.66325443,264.51602
-0.06,0.9317781,0.11325443,264.405
-0.21,0.3317781,0.26325443,262.48865
-0.11,0.8317781,0.61325443,261.8021
0.14,-0.2682219,0.46325443,260.9874
0.09,-0.4182219,0.91325443,260.91647
0.09,0.7317781,0.16325443,260.38632
0.09,0.5317781,0.26325443,260.2415
-0.06,0.0817781,0.26325443,259.23074
-0.11,0.4817781,0.61325443,258.24564
0.19,-0.7182219,0.66325443,258.2333
-0.11,-0.0182219,0.16325443,257.97614
0.09,-0.0682219,0.16325443,256.7476
0.24,0.3317781,0.26325443,256.33563
0.09,0.0817781,0.26325443,256.1278
0.19,-0.2182219,0.66325443,255.9591
-0.16,-0.1182219,0.26325443,255.20326
-0.16,-0.3182219,0.56325443,254.12471
-0.31,0.6817781,0.26325443,253.97694
0.29,-0.5182219,0.71325443,253.90108
-0.21,0.0317781,0.36325443,252.48116
0.24,0.4317781,0.51325443,252.1825
0.09,0.7317781,0.11325443,251.03993
0.14,0.4317781,0.46325443,251.02136
0.14,0.8817781,0.21325443,250.94145
-0.11,-0.5182219,0.91325443,250.30241
0.09,-0.5182219,0.66325443,250.13518
-0.36,-0.6182219,0.81325443,249.7016
-0.06,-0.0182219,0.21325443,249.30815
-0.01,0.4317781,0.21325443,249.2508
0.34,-0.5182219,0.91325443,249.21031
-0.11,0.3317781,0.16325443,249.06252
0.24,0.2817781,0.21325443,248.5378
-0.06,0.2817781,0.21325443,246.86131
0.24,-0.5182219,0.91325443,246.52809
0.19,0.4317781,0.16325443,245.61243
-0.26,0.4817781,0.21325443,245.23283
0.04,0.8817781,0.11325443,244.45018
0.09,-0.2682219,0.21325443,244.13193
-0.21,0.8317781,0.36325443,243.43044
0.09,0.1317781,0.26325443,243.27861
-0.21,0.4817781,0.16325443,242.0678
-0.16,-0.5182219,0.71325443,241.57443
0.09,0.4817781,0.16325443,241.44682
-0.06,-0.0182219,0.46325443,239.75056
-0.36,-0.5682219,0.76325443,239.5136
0.14,0.8317781,0.41325443,239.47566
-0.31,0.5817781,0.21325443,239.3333
0.24,0.0317781,0.31325443,239.31285
0.19,-0.0682219,0.16325443,239.12369
0.09,0.4317781,0.61325443,238.8564
0.04,-0.5182219,0.91325443,238.37726
0.09,0.6317781,0.21325443,236.59933
-0.16,-0.0182219,0.21325443,236.53236
0.14,0.6317781,0.21325443,236.46124
-0.21,0.4817781,0.51325443,236.4538
-0.11,0.5317781,0.16325443,235.94984
0.19,-0.5182219,0.71325443,235.74895
0.04,0.2817781,0.21325443,235.51332
0.04,0.3817781,0.26325443,235.25139
-0.06,-0.0682219,0.16325443,235.10635
0.09,0.3817781,0.21325443,234.30943
-0.21,-0.1682219,0.71325443,233.72885
-0.06,0.2317781,0.21325443,233.65639
-0.06,-0.0682219,0.21325443,233.25865
-0.21,0.2817781,0.26325443,233.01328
-0.21,-0.7682219,0.66325443,231.78163
-0.06,0.5317781,0.26325443,231.64949
-0.26,-0.5182219,0.86325443,231.63228
0.34,-0.5182219,0.81325443,231.48726
0.14,-0.7682219,0.66325443,231.05122
-0.36,-0.6682219,0.66325443,230.59726
0.09,0.8317781,0.56325443,230.58769
0.04,0.2817781,0.26325443,230.54753
0.19,-0.5182219,0.86325443,230.37491
-0.06,0.5317781,0.66325443,230.34932
-0.16,-0.1682219,0.41325443,229.89348
0.14,-0.0682219,0.26325443,228.8182
-0.21,0.5817781,0.16325443,228.22919
-0.06,-0.7182219,0.66325443,227.1461
0.24,0.2817781,0.16325443,224.97273
-0.06,0.8817781,0.16325443,224.83234
-0.01,0.3317781,0.26325443,224.821
-0.36,-0.7182219,0.61325443,224.2036
0.19,0.2817781,0.26325443,224.17891
0.09,0.5317781,0.21325443,223.83421
-0.26,0.6317781,0.26325443,223.57466
-0.11,0.7317781,0.16325443,222.13872
-0.01,-0.4182219,0.91325443,222.08537
0.14,0.5317781,0.26325443,221.73637
-0.11,0.6317781,0.16325443,221.54494
0.14,-0.4682219,0.61325443,221.31252
-0.16,-0.2182219,0.46325443,220.79848
-0.01,0.0317781,0.26325443,219.44406
-0.06,0.0317781,0.26325443,218.80055
-0.11,0.5817781,0.11325443,218.6351
-0.11,0.5817781,0.16325443,217.36176
-0.01,0.1317781,0.26325443,217.08572
-0.06,-0.3182219,0.26325443,216.66576
-0.36,-0.5682219,0.66325443,216.65974
-0.26,0.5317781,0.16325443,216.48155
0.04,-0.0182219,0.21325443,215.86241
0.14,-0.2182219,0.71325443,215.74321
-0.31,-0.7682219,0.66325443,215.46269
0.19,0.3817781,0.31325443,214.59874
0.09,0.8317781,0.61325443,214.50679
-0.21,0.3817781,0.26325443,214.29253
-0.16,0.8317781,0.41325443,213.26674
0.04,-0.2682219,0.11325443,213.02898
0.04,0.1817781,0.21325443,212.85051
0.24,-0.2682219,0.46325443,212.77904
0.24,0.4317781,0.11325443,211.66536
0.19,0.5817781,0.21325443,211.394
0.19,-0.4182219,0.61325443,211.24203
0.19,0.6317781,0.16325443,211.06377
0.09,-0.1182219,0.31325443,210.26108
-0.16,0.3817781,0.46325443,210.01306
-0.06,-0.0182219,0.16325443,208.87865
-0.06,0.3817781,0.21325443,208.64772
0.29,-0.7682219,0.66325443,207.23262
0.04,-0.5182219,0.76325443,206.89897
0.04,-0.0182219,0.16325443,206.84875
-0.11,0.3817781,0.11325443,206.24597
0.34,-0.6682219,0.66325443,206.2173
0.24,-0.2182219,0.61325443,205.57562
0.19,0.6817781,0.16325443,205.56297
-0.01,0.8817781,0.16325443,205.54802
0.24,-0.2682219,0.41325443,205.48811
-0.26,0.5817781,0.26325443,204.59554
-0.06,-0.7682219,0.66325443,204.4617
0.34,-0.5182219,0.86325443,204.33167
0.19,-0.7682219,0.66325443,204.32407
0.09,0.4817781,0.11325443,204.04948
-0.11,0.2817781,0.16325443,203.17674
0.24,-0.0182219,0.46325443,202.97227
-0.21,0.4317781,0.21325443,202.88504
0.19,0.8817781,0.16325443,202.60396
0.04,0.6817781,0.16325443,202.51897
0.04,-0.0682219,0.16325443,202.30415
0.14,0.8817781,0.56325443,202.21834
0.04,-0.0682219,0.26325443,201.52147
0.24,-0.5182219,0.86325443,201.26521
0.09,-0.1682219,0.31325443,201.2602
-0.11,-0.3682219,0.21325443,200.7509
0.09,-0.3182219,0.21325443,200.67337
0.04,-0.1182219,0.26325443,200.07976
-0.06,-0.3182219,0.16325443,199.6329
0.09,0.6817781,0.11325443,199.24539
0.04,0.6317781,0.16325443,199.052
0.29,-0.0682219,0.21325443,198.82014
-0.11,0.8817781,0.56325443,197.67891
-0.21,0.5817781,0.11325443,197.65091
-0.01,0.2817781,0.26325443,196.49437
-0.31,-0.8182219,0.66325443,195.7331
0.04,-0.2182219,0.26325443,195.65668
-0.16,0.8817781,0.61325443,195.03171
0.04,0.8317781,0.16325443,193.84926
-0.16,0.8317781,0.26325443,193.36055
-0.26,-0.5182219,0.71325443,192.47008
-0.16,-0.7182219,0.66325443,191.68524
-0.11,0.6817781,0.16325443,191.58742
-0.16,0.8317781,0.16325443,190.60594
-0.01,-0.0182219,0.46325443,190.47359
0.19,0.8317781,0.36325443,189.77373
-0.11,-0.7182219,0.66325443,187.75505
-0.01,-0.5182219,0.76325443,187.1155
-0.06,-0.2182219,0.26325443,186.93382
0.24,-0.7182219,0.66325443,185.84567
0.14,-0.5182219,0.91325443,185.59827
0.09,0.3817781,0.16325443,184.77823
0.04,0.1317781,0.21325443,184.50803
0.19,0.8317781,0.11325443,184.4878
-0.16,-0.5182219,0.81325443,184.2556
-0.11,-0.4682219,0.71325443,183.34933
-0.01,0.3317781,0.21325443,181.3994
-0.26,-0.7182219,0.66325443,181.2376
0.19,0.0317781,0.46325443,179.99231
0.09,-0.0682219,0.21325443,178.90433
-0.21,-0.5182219,0.81325443,178.04153
0.24,0.6317781,0.16325443,177.81499
0.19,0.2817781,0.21325443,177.4174
-0.01,0.3817781,0.26325443,177.1078
-0.11,-0.5182219,0.71325443,176.99823
-0.11,-0.5182219,0.66325443,176.90556
0.09,0.1817781,0.26325443,176.36122
0.19,0.0317781,0.36325443,175.66693
-0.31,-0.5182219,0.76325443,175.46825
-0.11,-0.3182219,0.16325443,175.1583
-0.21,0.5817781,0.46325443,173.67622
-0.16,-0.5182219,0.76325443,173.63475
0.29,0.6317781,0.21325443,173.4817
-0.11,-0.5182219,0.86325443,172.56393
0.19,0.9317781,0.11325443,171.86052
-0.01,0.4817781,0.26325443,171.6671
-0.16,-0.2682219,0.51325443,171.29134
