x,y,z
0.16440001,0.8191719,0.72051454
0.16444077,0.8202343,0.7201973
0.1646192,0.82488394,0.71880853
0.16479763,0.8295336,0.71742
0.16497606,0.83418274,0.7160313
0.1651545,0.83883286,0.7146425
0.16533293,0.8434825,0.71325386
0.16551135,0.84813166,0.7118653
0.16565388,0.8518462,0.71075594
0.16576095,0.8546362,0.7099227
0.16586801,0.85742617,0.7090894
0.16597508,0.86021614,0.7082561
0.16608214,0.8630061,0.70742285
0.16618921,0.8657961,0.7065896
0.16629627,0.8685856,0.7057564
0.16640334,0.87137556,0.70492315
0.16651043,0.874166,0.70408976
0.1666175,0.876956,0.7032565
0.16672456,0.87974596,0.7024232
0.1668,0.88171244,0.701836
0.16683163,0.88253593,0.70158994
0.16693869,0.8853259,0.70075667
0.16704576,0.8881159,0.6999234
0.16715282,0.89090586,0.6990901
0.16725989,0.89369583,0.69825685
0.16736697,0.8964863,0.69742346
0.16747403,0.89927626,0.6965902
0.1675811,0.90206623,0.6957569
0.16768816,0.9048562,0.69492364
0.16779523,0.9076462,0.69409037
0.16790229,0.91043615,0.6932571
0.1692,0.9442525,0.68315744
0.17160001,1.006793,0.6644788
0.17400001,1.0693336,0.6458
0.1764,1.1318736,0.62712145
0.1788,1.1944137,0.6084429
0.18120001,1.2569547,0.58976424
0.18360002,1.3194952,0.5710856
0.18599999,1.3820348,0.55240715
0.18840002,1.4445758,0.53372836
0.19080003,1.5071163,0.5150497
0.19320004,1.5696568,0.4963709
0.1956,1.6321969,0.4776926
0.19800001,1.6947374,0.45901382
0.20040002,1.757278,0.44033515
0.2028,1.8198175,0.42165673
0.2052,1.8823581,0.40297806
0.20760001,1.9448986,0.3842994
0.21000002,2.0074396,0.36562073
0.21240003,2.0699801,0.34694195
0.21480002,2.1325197,0.32826364
0.21720001,2.1950603,0.30958486
0.21960002,2.2576008,0.2909062
0.222,2.3201404,0.27222776
0.22440001,2.3826814,0.2535491
0.22560002,2.4139519,0.24420977
0.22680002,2.445222,0.23487043
