x,y,z,r,g,b,d
"['0.14040002', '0.19376826', '0.9073007']",[ 5.4562917  5.194017   4.5976872 -3.3044477]
"['0.14280002', '0.25630903', '0.88862205']",[ 3.5923996  3.300402   3.0468316 -2.860062 ]
"['0.14520001', '0.3188491', '0.8699435']",[17.161814 17.390667 17.558218 -4.37923 ]
"['0.14760001', '0.38138938', '0.85126495']",[15.626531  15.527989  14.633743  -4.9540896]
"['0.14911537', '0.42087722', '0.8394712']",[ 7.0407104  6.703901   5.7863226 -3.2187414]
"['0.1494694', '0.43010306', '0.8367158']",[ 9.960849   9.74123    9.0654955 -3.523239 ]
"['0.14982346', '0.4393289', '0.8339603']",[ 9.818467   9.653468   9.163051  -2.9440272]
"['0.15000002', '0.4439299', '0.8325863']",[ 8.083154   7.9075603  7.4580216 -2.7893932]
"['0.15017751', '0.448555', '0.8312049']",[ 6.6843815  6.3649125  5.581698  -2.8540685]
"['0.15053155', '0.45778084', '0.8284495']",[ 4.6810045  3.4136622  1.611621  -2.7644713]
"['0.1508856', '0.46700668', '0.82569396']",[ 4.6744356  3.1244354  1.1769345 -3.5094478]
"['0.1524', '0.50646996', '0.8139076']",[ 9.409063  9.522467  9.504322 -4.03758 ]
"['0.15480001', '0.56901073', '0.79522896']",[16.35147  17.029865 18.195553 -5.948009]
"['0.15720001', '0.6315508', '0.7765504']",[14.483905  13.812824  13.2802105 -4.48758  ]
"['0.15841846', '0.66330194', '0.76706755']",[ 8.046169  7.737724  7.366047 -3.858507]
"['0.1586012', '0.66806364', '0.7656454']",[ 8.01321    7.6674595  7.1085024 -3.8141687]
"['0.15878393', '0.67282534', '0.7642232']",[ 8.295203   7.7575765  6.660849  -3.588037 ]
"['0.15896666', '0.67758703', '0.76280105']",[10.046771  9.507958  8.384504 -3.724492]
"['0.1591494', '0.6823487', '0.7613789']",[13.585125  13.229823  12.303564  -4.3256755]
"['0.15933211', '0.6871104', '0.7599567']",[13.446454  13.27535   12.610333  -4.3435006]
"['0.15951484', '0.6918721', '0.75853455']",[10.566744  10.40787    9.843248  -4.2492423]
"['0.1596', '0.69409084', '0.75787187']",[ 8.791545  8.601247  8.059277 -4.151093]
"['0.15969758', '0.6966338', '0.7571124']",[ 6.503538   6.2360406  5.642447  -3.924256 ]
"['0.15988033', '0.701396', '0.7556901']",[ 5.7340274  5.4455485  4.926642  -3.6366956]
"['0.16006306', '0.7061577', '0.75426793']",[ 7.1455746  6.722878   5.9804893 -3.562198 ]
"['0.16024579', '0.7109194', '0.75284576']",[ 7.394451   6.8883185  5.979203  -3.771938 ]
"['0.16042852', '0.7156811', '0.7514236']",[ 8.233955   7.640977   6.6700044 -4.0952215]
"['0.16061126', '0.7204428', '0.75000155']",[ 9.292658   8.451049   7.3547115 -4.356873 ]
"['0.16079399', '0.72520447', '0.7485794']",[10.622045   9.592034   8.211706  -4.1458845]
"['0.16083269', '0.726213', '0.74827814']",[10.866563   9.710198   8.157544  -4.0746956]
"['0.16086648', '0.7270937', '0.74801517']",[11.062987  9.808764  8.098564 -4.001596]
"['0.16090028', '0.7279744', '0.7477521']",[11.166678   9.78815    7.8886642 -3.9216878]
"['0.16093408', '0.72885513', '0.7474891']",[11.2944     9.714815   7.621512  -3.8519533]
"['0.16096787', '0.72973585', '0.747226']",[11.5278845  9.645881   7.3532786 -3.808272 ]
"['0.16100167', '0.7306161', '0.746963']",[11.681806   9.538041   7.069141  -3.7297213]
"['0.16103546', '0.7314968', '0.74670005']",[11.540435  9.296332  6.773062 -3.634007]
"['0.16106926', '0.7323775', '0.74643695']",[11.388305   9.095618   6.5869308 -3.5738313]
"['0.16110305', '0.73325825', '0.746174']",[11.224794   8.990851   6.5631366 -3.5701644]
"['0.16113687', '0.73413944', '0.74591076']",[11.073147   8.888267   6.5474267 -3.5529697]
"['0.16117066', '0.73502016', '0.7456478']",[10.868734   8.720899   6.498646  -3.5427554]
"['0.16120446', '0.7359009', '0.7453847']",[10.714595   8.606579   6.500073  -3.5420978]
"['0.16123825', '0.7367816', '0.7451217']",[10.650176   8.547445   6.54557   -3.5157516]
"['0.16127205', '0.7376623', '0.74485874']",[10.586011  8.489812  6.610231 -3.509565]
"['0.16130584', '0.73854303', '0.74459565']",[10.308448   8.304004   6.5820284 -3.502055 ]
"['0.16133964', '0.7394233', '0.7443327']",[10.061519   8.0851755  6.4314647 -3.458402 ]
"['0.16137344', '0.740304', '0.7440696']",[ 9.92124    7.890287   6.2420325 -3.4060252]
"['0.16140723', '0.7411847', '0.7438066']",[ 9.915439   7.900932   6.2799563 -3.3809407]
"['0.16144103', '0.7420654', '0.7435436']",[ 9.718194   7.7705503  6.157841  -3.368488 ]
"['0.16147482', '0.74294615', '0.74328053']",[ 9.476525   7.640017   6.0658917 -3.3446896]
"['0.16150862', '0.74382687', '0.74301755']",[ 9.290598   7.6510825  6.1860943 -3.3203523]
"['0.16154242', '0.7447076', '0.74275446']",[ 9.088433   7.708048   6.3787627 -3.2848003]
"['0.16157621', '0.7455883', '0.7424915']",[ 8.867312   7.7603498  6.551041  -3.2244465]
"['0.16161', '0.746469', '0.7422284']",[ 8.785523   7.9189324  6.8197956 -3.1728675]
"['0.1616438', '0.74734926', '0.7419654']",[ 8.614949   7.9238887  6.923511  -3.118077 ]
"['0.1616776', '0.74823', '0.74170244']",[ 8.645038   8.146885   7.2633204 -3.1128657]
"['0.1617114', '0.7491107', '0.74143934']",[ 8.750394   8.370173   7.6289363 -3.1246028]
"['0.16174519', '0.7499914', '0.74117637']",[ 8.916856   8.619564   8.050772  -3.1520598]
"['0.16177899', '0.75087214', '0.7409133']",[ 9.05066    8.814927   8.387718  -3.1752758]
"['0.16181278', '0.75175285', '0.7406503']",[ 9.135959   8.943629   8.61938   -3.1800234]
"['0.16184658', '0.7526336', '0.7403873']",[ 9.263362   9.139836   8.948948  -3.1731627]
"['0.16188037', '0.7535143', '0.7401242']",[ 9.325639  9.244458  9.132486 -3.157138]
"['0.16191417', '0.754395', '0.73986125']",[ 9.265019   9.224164   9.1906395 -3.1263258]
"['0.16194797', '0.7552757', '0.73959816']",[ 9.273074   9.277696   9.331371  -3.0989635]
"['0.16198176', '0.75615597', '0.7393352']",[ 9.251459   9.288867   9.399842  -3.0561998]
"['0.162', '0.7566314', '0.7391932']",[ 9.192795   9.245183   9.385719  -3.0348284]
"['0.16201556', '0.7570367', '0.7390722']",[ 9.095571   9.157319   9.328543  -3.0189486]
"['0.16204935', '0.7579174', '0.7388091']",[ 9.322057   9.4101715  9.643284  -2.982962 ]
"['0.16208315', '0.7587981', '0.73854613']",[ 9.382379   9.475585   9.712055  -2.9582956]
"['0.16211694', '0.75967884', '0.73828304']",[ 9.332805  9.417605  9.65029  -2.956882]
"['0.16215077', '0.76056004', '0.73801994']",[ 9.2153635  9.293677   9.524512  -2.9684393]
"['0.16218457', '0.76144075', '0.73775685']",[ 9.008899   9.08442    9.319979  -2.9990847]
"['0.16221836', '0.7623215', '0.7374939']",[ 8.914062   8.99443    9.2386875 -3.040243 ]
"['0.16225216', '0.7632022', '0.7372308']",[ 9.036994   9.134126   9.409061  -3.0854099]
